"UpdatedMaster","StudyAbout","Decidestudyabout","Number_studies","SimilarStudy","SS_describe","Gender_Awareness","Gender_Aware_Des","Emotion_Awareness","Emotion_Aware_Desc","Psy_Course","IM_Non_Sex1","IM_Non_Sex2","IM_Non_Sex3","EM_Non_Sex1","EM_Non_Sex2","EM_Non_Sex3","NES1","NES2","NES3","NES4","NES5","NES6","BGenWorkplace1","BGenWorkplace2","BGenWorkplace3","BGenWorkplace4","BGenWorkplace5","Sexist_Beliefs1","Sexist_Beliefs2","Sexist_Beliefs3","Gender","Gender_4_TEXT","Age","Country","Country_3_TEXT","LivedUS","LivedSing","EnglishExperience","Edu_level","University","Corr_Cand_Gender","Correct_Emotion_Ang","Correct_Emotion_sad","Gender.Condition","Emotion.Condition","Power","Independence","Status.1","Hire","Yearly_Salary","Competent_R","Knowledgeable_R","Warm","Likeable","In_Control_R"
1,"how interviewers take into account how negative the person is, and how adaptable the person is in ""negative"" situations. additionally, is such negativity, maybe, tolerable in the current company","3","6","No","","1","","7","because the candidate was simply showing sadness and nothing else, i would not like to have such a negative colleague working with me. i would like someone more in control, able to solve problems, adaptable, and perhaps would not be so hung up about past mistakes ","No",4,1,6,1,1,4,4,4,5,5,5,3,5,4,5,5,6,4,1,1,"Female","",21,"Singapore","",NA,21,"21","Some university","Yes","","1",3,"Female","Sad",3,4,4,1,"25000",4,2,4,2,3
1,"The study is about whether people attributed their failures to themselves or the people and environment around them.","2","0","No","","6","Men are generally thought to be more competent. Hence, when the problem arose, the effects were more detrimental.","7","It sounded as if it was his partner's fault that the presentation did not go through.","No",5,5,5,5,4,4,3,1,2,2,2,1,3,6,4,5,5,5,3,2,"Female","",21,"Singapore","",0,21,"21","University degree","Yes","Male","5",3,"Male","Angry",4,4,4,4,"48000",9,8,4,3,8
1,"this study was to see how competent the candidates are and how suitable are they for the job ","2","0","No","","1","","2","","No",6,6,2,2,2,2,3,2,4,5,1,2,2,2,6,2,5,1,1,1,"Female","",20,"Singapore","",NA,22,"18","Some graduate/postgraduate education","Yes","Female","6",6,"Female","Sad",7,9,7,6,"4000",3,4,9,9,8
1,"It was probably about how other people perceive you by the way you express yourself. ","2","3","No",NA,"5",NA,"6","The applicant was feeling really frustrated and the that feeling spilled over to me as well ","No",5,5,4,5,7,7,5,3,5,5,5,3,5,3,5,3,4,5,3,4,"Female","",22,"Singapore","",0,22,"22","Some university","Yes","Female","5",3,"Female","Angry",7,7,4,7,"3000",3,7,6,6,4
1,"It was about how the job applicant deals with a difficult situation and he's reactions to it.","1","0","No","","4","","1","","No",3,4,4,2,2,2,5,5,5,3,4,4,3,5,5,5,4,5,5,4,"Female","",20,"Singapore","",0,20,"20","Some university","Yes","Male","5",4,"Male","Angry",3,8,7,6,"5000",5,4,7,6,8
1,"See how expressed emotions affect the people around us. ","3","0","No","","1","","8","The candidate's response was really short and did not bother to explain her reasoning for feeling that emotion. If she had reasoned why she felt that way in more details, my ratings for her would have been better. She simply showed a negative emotion and still sound like she could not get over the situation which goes to show that this would affect her new job as well if she is that easily irritable. ","No",5,5,6,3,3,1,3,5,4,5,3,2,6,7,7,7,6,2,1,1,"Female","",21,"Singapore","",0,21,"21","High school degree/completed secondary school","Yes","Female","6",6,"Female","Angry",6,9,7,5,"36000",7,8,5,4,8
1,"To see the extent you judge others based on a one-off event.","3","7","No","-","1","-","1","-","No",6,6,6,2,2,2,7,5,5,4,4,3,5,5,5,5,5,2,2,2,"Female","",21,"Singapore","",0,21,"21","High school degree/completed secondary school","Yes","Female","4",5,"Female","Angry",7,7,7,7,"3500",6,7,6,6,8
1,"to determine if the account could have been open in another situation ","3","4","No","","1","","1","","No",5,5,6,2,2,2,6,1,4,3,4,1,3,4,4,3,3,2,3,1,"Female","",24,"Singapore","",NA,24,"24","University degree","Yes","Male","5",3,"Male","Angry",7,7,6,6,"50000",6,5,4,5,7
1,"This study could be about how humans draw a link between an individual's expression of emotion to the kind of character they are.","2","5","No","","5","","4","","No",5,5,4,4,3,4,3,3,2,5,2,1,4,4,4,5,4,5,5,1,"Male","",21,"Singapore","",NA,21,"21","Some university","Yes","Male","2",3,"Male","Angry",6,6,6,8,"4800",6,5,7,7,6
1,"this study was about assessing my perceptions of the individual according to his attitudes and emotions to the situation he was in","2","0","No","","6","I think the gender of the candidate influenced me whereby I thought of him to be a very rash individual and has control over things because he is a male.","7","the candidate's emotions may have influenced me to think that he could not control his emotions well enough to think from another's perspective, because likewise for his partner, he must have felt bad about being stuck in traffic which was not something that could be foreseen or controlled.","No",5,5,5,3,3,3,5,4,3,4,2,2,3,5,5,5,5,5,5,3,"Female","",21,"Singapore","",NA,21,"15","University degree","Yes","Male","4",2,"Male","Angry",4,5,4,2,"2700",8,5,3,4,3
1,"It trying to study how much concern you have about the feelings of others. Would you take the benefits of others into consideration","3","0","No","","1","","6","it felt like he was trying to push the blame to others","No",3,4,3,3,5,5,2,2,3,3,3,1,3,5,6,6,6,5,2,2,"Female","",25,"Singapore","",0,25,"23","Some university","Yes","Male","5",3,"Male","Angry",4,8,5,4,"3500",5,5,3,3,7
1,"I think it is to test the reaction of the employee when they face challenges","2","0","No","","4","not really","7","If the person gets angry easily, I will have a bad impression","Yes",4,4,6,5,2,2,3,1,2,3,3,1,2,2,5,4,4,5,4,4,"Female","",21,"Singapore","",NA,17,"17","Some university","Yes","Female","6",2,"Female","Angry",7,7,6,6,"2500",8,7,3,4,5
1,"to test how the interviewee deal with negative emotions at work","3","0","No","","1","","9","the emotions expressed is an indicator of how we perceived and judge one's personality trait to determine the behavior of the candidate's potential job ability and attitudes.","No",5,6,6,6,5,3,2,5,2,5,4,3,4,5,5,5,5,2,3,3,"Female","",20,"Singapore","",0,20,"20","High school degree/completed secondary school","Yes","Female","6",4,"Female","Angry",5,7,7,4,"30000",8,8,5,5,8
1,"How I view the person by reading the person's answer to a negative experience. ","2","3","Yes","I was given a few excerpts to read about how someone think or answer and rate how I find the person.","5","","7","","No",6,6,7,7,4,4,2,2,5,5,5,2,4,5,4,5,4,3,3,3,"Female","",21,"Singapore","",NA,21,"21","High school degree/completed secondary school","Yes","Male","1",7,"Male","Sad",5,6,5,6,"36000",7,6,9,7,7
1,"The study was to find out how the candidate react and respond to a negative situation. ","2","0","No","NIL","1","NIL","7","I can have a rough gauge from the way the candidate expresses herself.","No",7,7,6,7,7,7,5,1,4,4,4,1,5,5,5,3,4,7,4,4,"Female","",21,"Singapore","",0,21,"18","University degree","Yes","Female","3",5,"Female","Sad",2,7,6,6,"2000",6,6,6,6,5
1,"how to judge someone with only a negative experience in mind","1","0","No","","1","","9","","No",7,7,7,7,1,1,5,5,4,4,3,4,4,5,6,6,6,1,6,2,"Female","",20,"Other (please indicate):","France",0,0,"5","University degree","Yes","Male","1",6,"Male","Sad",7,7,6,7,"35000",5,3,8,8,6
1,"Whether the person is competent for the job and the emotion of the person","2","8","No","","1","","5","","No",4,3,4,2,2,2,4,4,3,4,2,2,3,6,6,6,6,6,4,4,"Female","",22,"Singapore","",NA,22,"18","Some university","Yes","Female","7",2,"Female","Angry",10,10,10,6,"60000",2,3,6,6,4
1,"I think this study is about how people perceive someone based on how they react and their feelings towards a situation.","2","0","No","nil","5","","6","It's because I feel that she was not that understanding.","No",4,4,7,4,3,4,1,1,1,2,1,1,4,5,5,5,4,7,4,4,"Male","",21,"Singapore","",NA,21,"21","University degree","Yes","Female","6",3,"Female","Angry",8,8,8,3,"40000",6,6,6,5,5
1,"I think the study was about looking at how negative responses affect our perception of a person.","3","10","No","","1","","7","The candidate expressed sadness and this influenced my view on her neuroticism","No",6,6,6,4,4,4,7,6,6,5,6,4,6,6,6,6,6,5,4,4,"Female","",22,"Singapore","",NA,NA,"","High school degree/completed secondary school","Yes","Female","1",7,"Female","Sad",5,8,5,6,"4000",4,4,6,6,9
1,"This study was about how we associate negative perceptions to the emotions of a person, in this case, it was the applicant, where he had displayed negative emotions such as anger and annoyance in relation to the event that had happened. We were asked to determine how we felt about the applicant, given the emotions that he displayed.","2","3","No","","1","","9","It made me have a bias towards his behavior, such as having a perception that the applicant was self-entitled and bossy, before I even went on to do the survey.","No",5,6,6,6,6,6,4,6,5,4,4,5,6,7,6,7,6,6,6,1,"Male","",23,"Singapore","",NA,23,"23","University degree","Yes","Male","6",1,"Male","Angry",3,3,3,1,"36000",9,8,3,3,6
1,"First impressions ","1","2","No","","1","","9","All he said was sad and nothing else. It ended on a negative note and take is my last impression of it and kind of the most memorable one","No",4,3,4,4,3,2,4,3,2,3,1,1,5,4,5,5,4,6,2,2,"Female","",21,"Singapore","",NA,21,"14","Some university","Yes","Male","1",5,"Male","Sad",2,5,4,3,"48000",3,5,6,5,3
1,"study to see how one perceive other individual's emotion base on the story he told to answer the question.","2","0","No","","1","","5","","No",7,7,7,1,7,4,1,1,4,1,3,1,4,3,1,4,1,1,1,1,"Male","",19,"Other (please indicate):","Indonesia",0,1,"15","University degree","Yes","Male","1",5,"Male","Sad",7,8,5,7,"40000",4,4,8,6,5
1,"Perceiving ","1","2","No","","5","","5","","No",1,1,6,1,1,1,4,6,2,7,2,3,5,5,7,4,7,2,2,1,"Female","",21,"Singapore","",0,21,"21","University degree","Yes","Male","5",2,"Male","Angry",9,11,8,7,"3200",8,7,4,6,6
1,"To study about how people treat one another at the workplace. ","3","0","No","","5","","5","","No",5,5,5,5,5,5,4,5,5,6,6,4,4,5,5,5,5,5,3,4,"Female","",19,"Singapore","",NA,17,"17","Some university","Yes","Female","5",5,"Female","Sad",5,6,6,8,"2800",7,7,7,6,6
1,"Whether negative experiences about someone affects job competence","2","0","No","","1","","8","He sounded angry and not really remorseful at all, which made him really unlikable.","Yes",5,6,5,6,6,6,3,3,4,5,4,1,5,7,4,7,6,5,5,3,"Male","",24,"Singapore","",NA,24,"24","Some university","Yes","Female","5",2,"Male","Angry",4,8,4,2,"2500",9,7,2,2,2
1,"How emotions play a part as being leaders or followers in the work place. ","2","0","No","","1","","9","I guess if she had reacted in a different way instead of being angry, I would have felt that she was a nicer person and that she is more understanding. ","No",7,7,7,4,4,4,4,3,4,5,4,1,4,6,6,6,6,4,4,4,"Female","",24,"Singapore","",0,24,"24","Some university","Yes","Female","7",4,"Female","Angry",1,1,1,1,"1",2,2,1,1,7
1,"I think this study is about emotions","2","0","No","","1","","5","","No",7,7,5,4,3,4,5,7,5,7,6,4,3,5,4,5,4,7,7,4,"Male","",22,"Singapore","",NA,22,"22","Some university","Yes","Male","5",3,"Male","Sad",5,5,5,4,"30000",6,6,4,3,7
1,"How the text made me feel and perceive the hypothetical person","2","4","No","","1","","2","","No",5,5,4,4,5,4,4,6,5,5,4,3,5,7,7,6,7,7,7,2,"Male","",21,"Singapore","",NA,21,"21","Some university","Yes","Male","3",3,"Male","Sad",4,6,5,4,"2500",4,4,3,3,9
1,"impressions","2","1","No","","3","","6","","No",3,3,5,6,2,6,1,4,3,5,2,2,5,5,5,5,6,6,2,5,"Female","",20,"Singapore","",0,20,"15","High school degree/completed secondary school","Yes","Female","3",3,"Female","Sad",3,7,4,4,"3000",4,3,3,7,4
1,"How I view him just based on one incident?","2","2","No","","5","","1","","No",4,5,5,5,4,3,2,1,1,2,2,1,3,5,5,3,3,5,5,5,"Male","",24,"Singapore","",0,24,"24","High school degree/completed secondary school","Yes","Male","4",5,"Male","Sad",4,6,6,5,"42000",5,3,6,5,5
1,"capabilities of the interviewee","2","0","No","","5","","4","","No",7,5,7,1,1,1,5,5,5,5,5,4,4,5,4,5,5,5,4,1,"Male","",23,"Singapore","",0,23,"23","Some university","Yes","Male","5",5,"Male","Angry",6,7,7,6,"4000",5,6,5,5,5
1,"how a person reacts in a challenging situation","1","1","No","","6","men tend to be more rash in their actions","4","","No",6,6,7,3,2,2,3,4,2,2,2,2,5,5,6,5,5,7,4,2,"Female","",20,"Singapore","",0,20,"20","University degree","Yes","Male","6",2,"Male","Angry",5,8,7,5,"4000",7,7,4,4,7
1,"How we perceived the situation that the applicant was in and how he is likely to be in his previous job.","2","0","No","","4","","6","Knowing that he felt frustrated made it gave him a better rating.","No",5,5,5,5,5,5,3,2,4,5,4,2,5,5,5,5,5,4,4,3,"Male","",22,"Singapore","",0,22,"22","High school degree/completed secondary school","Yes","Female","5",4,"Female","Sad",4,6,4,6,"3000",5,5,6,6,8
1,"Perceiving a piece of information and how to do deep-level thinking.","2","1","No","","5","The way she phrased her predicament made it seem as if she had no control of the situation.","7","She didn't say how she solved the problem, it just seemed like she painted a very pitiful story for herself. ","No",7,7,6,7,7,7,2,1,4,5,5,1,2,4,3,5,2,6,5,1,"Male","",25,"Singapore","",0,25,"25","University degree","Yes","Female","1",6,"Female","Sad",7,7,5,6,"36000",5,2,8,8,2
1,"attitudes and behaviours ","2","0","No","","7","A man should have been less whiney and accepted more responsibility ","7","did not leave a good impression ","Yes",7,7,7,7,7,7,4,6,7,7,3,5,6,6,6,6,6,6,6,1,"Female","",21,"Singapore","",NA,21,"21","University degree","Yes","Male","5",2,"Male","Angry",6,6,6,7,"3600",6,5,4,4,7
1,"How a person's reaction to a situation affects one's impression of the person. ","3","0","No","","4","","6","As the candidate expressed that she was angry, this showed that she cared about her work enough to experience an emotion because of something that happened at work. Her anger also made me think that she could be a bit aggressive. ","No",5,6,7,3,1,1,3,4,3,5,2,2,4,6,5,6,5,3,4,1,"Female","",19,"Singapore","",NA,19,"19","High school degree/completed secondary school","Yes","Female","5",4,"Female","Angry",7,8,6,6,"84000",2,6,7,5,3
1,"To see how a person would respond in a bad scenario","1","1","No","","1","","1","","No",6,2,6,2,3,2,2,3,2,2,2,1,4,5,5,6,5,6,4,4,"Male","",23,"Singapore","",0,23,"23","Some graduate/postgraduate education","Yes","Female","4",4,"Female","Angry",8,8,8,8,"3000",8,5,8,6,6
1,"The behaviour of each person when they faced with unpredictable situations","3","3","No","","1","","8","The bad emotion that the candidates give me an idea that he was not reflecting himself","No",7,7,7,4,1,1,4,6,1,5,5,4,1,7,7,7,4,7,7,4,"Female","",22,"Singapore","",0,12,"12","Some university","Yes","Male","7",1,"Male","Angry",6,9,6,5,"30000",5,8,1,4,8
1,"","3","","No","","4","self-identification bias","6","i imagine myself in her position","No",6,6,5,1,1,1,5,4,5,2,3,1,5,4,6,6,5,4,5,1,"Female","",20,"Other (please indicate):","netherlands",0,0,"17","Some graduate/postgraduate education","Yes","Female","3",5,"Female","Angry",7,9,5,6,"",4,4,6,5,6
1,"How do people perceive other people based on their negative behaviour","3","1","No","","1","","8","I feel that the candidate is a warm person as she is feeling sad and regret for the mistake she had done and the cost incurred for the company.","No",7,4,7,7,7,7,2,1,3,4,2,1,1,1,3,2,2,7,7,1,"Male","",25,"Singapore","",0,25,"22","High school degree/completed secondary school","Yes","Female","1",7,"Female","Sad",5,5,5,6,"48000",8,5,11,9,9
1,"Seeing how a person's response to recalling a negative incident, and his attribution of the blame, and what it says about their personality and possible attitude in the workplace","2","2","No","","1","","1","","No",6,5,5,3,4,3,3,4,4,4,3,3,4,5,4,5,5,6,6,3,"Male","",23,"Singapore","",0,23,"23","Some university","Yes","Male","2",7,"Male","Sad",6,4,4,5,"36000",5,8,6,6,5
1,"Impressions","2","0","No","","7","If it was a female i might have given worser ratings","7","I feel that its alright to feel annoyed or angry at the situation but I thought more could have been done to salvage the situation had he not felt the way he felt.","No",5,5,3,4,3,5,3,5,5,4,5,3,6,6,6,2,6,7,7,3,"Female","",21,"Singapore","",0,21,"21","Some university","Yes","Male","6",2,"Male","Angry",4,7,7,4,"28000",6,5,5,5,8
1,"To find out how employers perceive potential candidates based on their responses in adverse scenarios. ","2","0","No",NA,"1",NA,"8","A candidate who responds with more desirable emotions should be a more competent candidate. In this instance, the emotions expressed were not exactly ideal. ","No",7,7,7,1,1,1,6,5,4,3,3,4,3,5,4,5,3,2,1,1,"Male","",21,"Singapore","",0,21,"21","University degree","Yes","Female","5",6,"Female","Angry",5,4,4,5,"5000",5,7,5,5,5
1,"To see if emotions would affect one's working habits and style. ","2","","No","","1","","9","","No",6,6,7,2,2,2,2,5,5,7,5,2,4,6,6,6,6,5,6,5,"Female","",NA,"Singapore","",NA,21,"","University degree","Yes","Male","5",3,"Female","Angry",7,8,6,7,"45000",7,6,5,4,6
1,"understanding a persons personality from his answers","2","1","No","","7","if it was female i'd be more forgiving","9","he felt sad instead of anger towards his colleague which shows he is  somewhat empathetic","No",1,1,1,1,1,1,4,5,5,7,2,1,1,6,3,4,1,7,7,7,"Male","",23,"Singapore","",0,23,"23","University degree","Yes","Male","1",6,"Male","Sad",4,4,4,3,"2400",9,9,8,6,4
1,"It is about how the answers of a negative experience at work of a potential job candidate would affect how likely the an employer will hire and or assess the candidate.","3","0","No","","5","","7","The fact that she said that she was annoyed and angry, it might suggest she might be difficult to work with or unforgiving/unfriendly.","No",3,3,4,4,4,3,4,4,4,5,5,3,4,5,4,5,4,5,5,3,"Male","",25,"Singapore","",NA,25,"21","University degree","Yes","Female","5",3,"Female","Angry",7,9,7,6,"4000",8,8,6,6,7
1,"to test if i think he was competent","3","1","No","","6","since it was a guy, it is more likely that he should be more competent and do better in his job.","3","","No",5,5,5,5,5,5,5,4,2,5,3,1,4,5,5,5,5,5,3,3,"Female","",20,"Singapore","",0,19,"19","High school degree/completed secondary school","Yes","Male","4",5,"Male","Sad",4,5,5,7,"60000",8,7,5,6,8
1,"How we infer characteristics of others based on their past mistakes.","3","0","No","","1","","1","","No",4,3,4,2,2,2,4,5,4,5,4,3,4,4,4,5,4,3,2,2,"Female","",22,"Singapore","",0,22,"22","Some university","Yes","Female","1",7,"Female","Sad",6,6,6,6,"2700",5,5,6,6,7
1,"How someone's explanation of one of their failures affect another person's perspective of them","2","0","No","","1","","5","","No",6,6,6,1,2,1,4,6,4,6,5,5,5,5,6,6,5,5,5,1,"Prefer not to say","",19,"Singapore","",0,19,"19","Some university","Yes","Female","3",3,"Female","Sad",4,4,4,4,"35000",8,8,5,5,8
1,"perception of others","1","0","No","nil","1","","7","how she blamed it on the traffic and her co-worker influenced my decision","Yes",5,6,6,6,4,4,2,1,2,2,2,1,1,4,4,4,3,5,4,3,"Male","",27,"Singapore","",NA,27,"26","University degree","Yes","Female","5",5,"Female","Angry",4,4,5,5,"2800",6,6,4,4,7
1,"The study was about how hireable a person is based on his or her attitude.","2","0","No","","1","","6","","No",6,6,5,5,6,6,3,3,4,4,4,4,4,5,4,5,5,4,2,1,"Female","",21,"Singapore","",0,21,"21","University degree","Yes","Female","2",5,"Female","Sad",6,8,7,6,"36000",7,6,7,6,6
1,"Was about someone's emotion and attitude at work. How it says a lot about him as a person/ employee.","1","1","No","","1","","9","The emotion he expressed explains that he is someone who lack the emotional intelligence during an interview","No",7,7,7,1,1,1,3,6,6,5,6,6,4,5,5,7,6,7,6,1,"Female","",23,"Singapore","",0,23,"17","Graduate/postgraduate degree (e.g., doctoral degree)","Yes","Male","6",6,"Male","Angry",11,5,7,5,"30000",9,6,4,2,11
1,"how one answers a negative question and portrays him/herself to be like - whether put the blame on others or admits fault, and how this affects the interviewer's perception of the intervieww","2","1","No","","1","","7","the emotions that the candidate expressed affects the language that the candidate used which then shows the attitude of the candidate towards future similar situations","No",6,6,6,6,6,6,4,5,4,6,4,4,5,5,5,6,5,3,3,3,"Female","",21,"Singapore","",0,21,"21","Some university","Yes","Female","5",2,"Female","Angry",6,8,6,3,"72000",8,8,3,3,8
